Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-01-03 23:24:55,"Evening Workout",31s,"Running",1,0,0,1.0,540,"","",
2023-02-11 14:04:20,"Afternoon Workout",1m,"Decline Crunch",1,25.0,20,0,0,"","",
2023-02-11 14:04:20,"Afternoon Workout",1m,"Decline Crunch",2,25.0,20,0,0,,,
2023-02-11 14:04:20,"Afternoon Workout",1m,"Reverse Crunch",1,70.0,15,0,0,"",,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Reverse Crunch",1,55.0,20,0,0,"","",
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Reverse Crunch",2,70.0,15,0,0,,,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Reverse Crunch",3,70.0,18,0,0,,,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Deadhang",1,0,0,0,75,"",,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"T Bar Row",1,35.0,10,0,0,"",,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Skullcrusher (Barbell)",1,40.0,16,0,0,"",,
2023-02-11 15:45:47,"Afternoon Workout",1h 11m,"Skullcrusher (Barbell)",2,40.0,20,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Nordic Curl",1,0,3,0,0,"","",
2023-02-13 12:35:27,"DLegs",22m,"Nordic Curl",2,0,3,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Tib Raises",1,10.0,40,0,0,"",,
2023-02-13 12:35:27,"DLegs",22m,"Tib Raises",2,10.0,40,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Tib Raises",3,10.0,40,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Deadlift (Barbell)",1,135.0,10,0,0,"",,
2023-02-13 12:35:27,"DLegs",22m,"Deadlift (Barbell)",2,175.0,5,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Deadlift (Barbell)",3,185.00000000000003,4,0,0,,,
2023-02-13 12:35:27,"DLegs",22m,"Deadlift (Barbell)",4,135.0,10,0,0,,,
2023-02-14 22:48:27,"Evening Workout",4m,"Pull-Up Blue Band",1,0,7,0,0,"","",
2023-02-14 22:48:27,"Evening Workout",4m,"Pull-Up Blue Band",2,0,11,0,0,,,
2023-02-14 22:48:27,"Evening Workout",4m,"Pull-Up Blue Band",3,0,10,0,0,,,
2023-02-14 22:48:27,"Evening Workout",4m,"Pull Aparts - Green Thin Band",1,0,30,0,0,"",,
2023-02-14 22:48:27,"Evening Workout",4m,"Pull Aparts - Green Thin Band",2,0,30,0,0,,,
2023-02-14 22:48:27,"Evening Workout",4m,"Pull Aparts - Green Thin Band",3,0,1,0,0,,,
2023-02-14 22:48:27,"Evening Workout",4m,"Overhead Press -  Blue Band",1,0,20,0,0,"",,
2023-02-14 22:48:27,"Evening Workout",4m,"Overhead Press -  Blue Band",2,0,10,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Nordic Curl",1,0,2,0,0,"","",
2023-02-15 21:56:11,"New Template",43h 14m,"Nordic Curl",2,0,1,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Nordic Curl",3,0,1,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Nordic Curl",4,0,1,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Tib Raises",1,10.0,40,0,0,"",,
2023-02-15 21:56:11,"New Template",43h 14m,"Tib Raises",2,10.0,40,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",1,185.00000000000003,3,0,0,"",,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",2,195.0,3,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",3,225.0,3,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",4,235.0,3,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",5,245.00000000000003,3,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",6,225.0,5,0,0,,,
2023-02-15 21:56:11,"New Template",43h 14m,"Deadlift (Barbell)",7,185.00000000000003,5,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Push Up",1,0,20,0,0,"","",
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Push Up",2,0,16,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Push Up",3,0,11,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Push Up",4,0,10,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Inverted Row (Bodyweight)",1,0,17,0,0,"",,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Inverted Row (Bodyweight)",2,0,12,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Inverted Row (Bodyweight)",3,0,10,0,0,,,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Triceps Pushdown (Cable - Straight Bar)",1,1.0,15,0,0,"",,
2023-02-17 17:11:07,"Afternoon Workout",7h 19m,"Triceps Pushdown (Cable - Straight Bar)",2,1.0,10,0,0,,,
2023-02-19 13:21:13,"Midday Workout",73h 13m,"Step Down",1,0,10,0,0,"","",
